texto,sentimiento,compañía
Muy buen trato por parte de los técnicos de @ClaroPY,positivo,@ClaroPY
Muy buen trato por parte de los técnicos de @ClaroPY,positivo,@ClaroPY
No puedo ni navegar con la lentitud de @ClaroPY,negativo,@ClaroPY
"@ClaroPY funciona normal, nada fuera de lo común",neutro,@ClaroPY
"Puedo usar mi celular con @TigoParaguay, pero no es nada especial",neutro,@TigoParaguay
Gran cobertura y atención personalizada de @ClaroPY,positivo,@ClaroPY
"@PersonalPy es una estafa, nada funciona bien",negativo,@PersonalPy
La conexión con @PersonalPy es aceptable en general,neutro,@PersonalPy
Confío plenamente en el servicio de @TigoParaguay,positivo,@TigoParaguay
"Excelente servicio de @PersonalPy, muy satisfecho",positivo,@PersonalPy
Cobertura muy deficiente la de @PersonalPy,negativo,@PersonalPy
La app de @PersonalPy no sirve para nada,negativo,@PersonalPy
Los cortes de servicio son frecuentes con @TigoParaguay,negativo,@TigoParaguay
Cobertura regular de @TigoParaguay en zonas rurales,neutro,@TigoParaguay
"Excelente servicio de @TigoParaguay, muy satisfecho",positivo,@TigoParaguay
"No es la mejor ni la peor, @ClaroPY está bien",neutro,@ClaroPY
Me quedé sin servicio de @PersonalPy justo en una videollamada,negativo,@PersonalPy
Uso @PersonalPy solo para cosas simples y me alcanza,neutro,@PersonalPy
"Pésimo servicio de @TigoParaguay, sin señal todo el día",negativo,@TigoParaguay
El router que me dio @ClaroPY vive fallando,negativo,@ClaroPY
"No hay mucha diferencia con otras, @ClaroPY es común",neutro,@ClaroPY
Con @TigoParaguay tengo buena señal hasta en viajes largos,positivo,@TigoParaguay
Uso @PersonalPy solo para cosas simples y me alcanza,neutro,@PersonalPy
@ClaroPY es ideal para videollamadas y juegos online,positivo,@ClaroPY
Muy buen trato por parte de los técnicos de @ClaroPY,positivo,@ClaroPY
La conexión de @TigoParaguay es decente para tareas básicas,neutro,@TigoParaguay
Cobertura regular de @ClaroPY en zonas rurales,neutro,@ClaroPY
Pésima experiencia con el soporte técnico de @TigoParaguay,negativo,@TigoParaguay
"No me puedo quejar demasiado de @TigoParaguay, es aceptable",neutro,@TigoParaguay
Servicio muy profesional el de @PersonalPy,positivo,@PersonalPy
Servicio muy profesional el de @TigoParaguay,positivo,@TigoParaguay
Estoy satisfecho con la velocidad de respuesta de @PersonalPy,positivo,@PersonalPy
Estoy satisfecho con la velocidad de respuesta de @TigoParaguay,positivo,@TigoParaguay
Todo funciona muy bien desde que estoy con @ClaroPY,positivo,@ClaroPY
Me quedé sin servicio de @ClaroPY justo en una videollamada,negativo,@ClaroPY
Mi experiencia con @TigoParaguay es neutra hasta ahora,neutro,@TigoParaguay
El precio de @PersonalPy está dentro del promedio,neutro,@PersonalPy
Gran cobertura y atención personalizada de @ClaroPY,positivo,@ClaroPY
@TigoParaguay tiene la mejor relación calidad-precio,positivo,@TigoParaguay
Uso @TigoParaguay solo para cosas simples y me alcanza,neutro,@TigoParaguay
"@TigoParaguay funciona normal, nada fuera de lo común",neutro,@TigoParaguay
Ningún problema con @ClaroPY en más de un año,positivo,@ClaroPY
Mi conexión con @ClaroPY siempre es rápida,positivo,@ClaroPY
@PersonalPy me da más dolores de cabeza que soluciones,negativo,@PersonalPy
Estoy encantado con la estabilidad de @PersonalPy,positivo,@PersonalPy
"Con @TigoParaguay tengo lo que espero, nada más",neutro,@TigoParaguay
Estoy satisfecho con la velocidad de respuesta de @PersonalPy,positivo,@PersonalPy
"Con @PersonalPy tengo lo que espero, nada más",neutro,@PersonalPy
Siempre resuelven mis consultas de forma amable en @TigoParaguay,positivo,@TigoParaguay
Cada vez que llamo a @PersonalPy me dejan esperando horas,negativo,@PersonalPy
"Todo perfecto con @ClaroPY, buena señal y atención",positivo,@ClaroPY
"No me puedo quejar demasiado de @ClaroPY, es aceptable",neutro,@ClaroPY
Cada vez que llamo a @ClaroPY me dejan esperando horas,negativo,@ClaroPY
